date,div1_on,div2_on,div3_on,div4_on,div5_on,div6_on,div1_text,div2_text,div3_text,div4_text,div5_text,div6_text,div1_top,div2_top,div3_top,div4_top,div5_top,div6_top
01/01/1850,0,0,0,0,0,0,1,2,3,4,5,6,20,240,350,20,210,320
01/01/1861,1,0,0,0,0,0,1,2,3,4,5,6,20,240,350,20,210,320
01/01/1886,1,1,0,0,0,0,1,2,3,4,5,6,20,240,350,20,210,320
01/01/1896,1,1,1,0,0,0,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1900,1,1,1,1,0,0,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1921,1,1,1,1,0,0,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1927,1,1,1,1,1,0,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1929,1,1,1,1,1,0,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1930,0,0,0,1,1,1,1,2,3,4,5,6,20,240,350,20,210,320
1/1/1938,1,0,0,1,1,1,7,2,3,4,5,6,20,240,350,20,210,320
1/1/1944,1,0,0,1,1,1,7,2,3,4,5,6,20,240,350,20,210,320
1/1/1948,1,0,0,1,1,1,7,2,3,4,5,6,20,240,350,20,210,320
1/1/1955,1,1,0,1,1,1,7,8,3,4,5,6,20,230,350,20,210,320
1/1/1957,1,1,1,0,0,0,7,8,9,4,5,6,20,230,400,20,210,320
1/1/1958,1,1,1,1,0,0,7,8,9,10,5,6,20,230,400,20,210,320
1/1/1960,1,1,1,1,1,0,7,8,9,10,11,6,20,230,400,20,210,320
1/1/1965,1,1,1,1,1,1,7,8,9,10,11,12,20,230,400,20,210,300
1/1/1966,0,0,0,1,1,1,7,8,9,10,11,12,20,230,400,20,210,300
1/1/1972,1,0,0,1,1,1,13,8,9,10,11,12,20,230,400,20,210,300
1/1/1973,1,0,0,1,1,1,13,8,9,10,11,12,20,230,400,20,210,300
1/1/1974,1,0,0,1,1,1,13,8,9,10,11,12,20,230,400,20,210,300
1/1/1975,1,1,1,1,1,1,13,14,15,10,11,12,20,200,300,20,210,300
1/1/1977,1,1,1,1,1,1,13,14,15,10,11,12,20,200,300,20,210,300
1/1/1981,1,1,1,1,1,1,13,14,15,10,11,12,20,200,300,20,210,300
1/1/1982,1,1,1,1,1,1,13,14,15,10,11,12,20,200,300,20,210,300
1/1/1983,1,1,1,0,0,0,13,14,15,10,11,12,20,200,300,20,110,300
1/1/1987,1,1,1,1,1,0,13,14,15,16,17,12,20,200,300,20,110,260
1/1/1988,0,0,0,1,1,1,13,14,15,16,17,18,20,200,300,20,110,260
1/1/1989,1,1,0,1,1,1,19,20,15,16,17,18,20,240,300,20,110,260
1/1/1990,1,1,1,1,1,1,19,20,21,16,17,18,20,240,350,20,110,260
1/1/1991,1,1,1,0,0,0,19,20,21,16,17,18,20,240,350,20,110,260
1/1/1992,1,1,1,1,0,0,19,20,21,22,17,18,20,240,350,20,110,260
1/1/1993,1,1,1,1,0,0,19,20,21,22,17,18,20,240,350,20,110,260
1/1/1994,1,1,1,1,0,0,19,20,21,22,17,18,20,240,350,20,110,260
1/1/1995,1,1,1,1,1,0,19,20,21,22,23,18,20,240,350,20,230,260
1/1/1997,0,0,0,1,1,1,19,20,21,22,23,24,20,240,350,20,230,390
1/1/1998,1,1,0,1,1,1,25,26,21,22,23,24,20,180,350,20,230,390
1/1/1999,1,1,1,0,0,0,25,26,27,22,23,24,20,180,360,20,230,390
1/1/2001,1,1,1,1,1,0,25,26,27,28,29,24,20,180,360,20,110,390
1/1/2002,1,1,1,1,1,0,25,26,27,28,29,24,20,180,360,20,110,390
1/1/2003,1,1,1,1,1,0,25,26,27,28,29,24,20,180,360,20,110,390
1/1/2004,0,0,0,1,1,0,25,26,27,28,29,24,20,180,360,20,110,390
1/1/2005,1,0,0,1,1,1,31,26,27,28,29,30,20,180,360,20,110,260
1/1/2006,1,1,1,0,0,0,31,32,33,28,29,30,20,140,280,20,110,260
1/1/2007,1,1,1,1,1,0,31,32,33,34,36,30,20,140,280,20,150,260
1/1/2008,0,0,0,1,1,1,31,32,33,34,36,37,20,140,280,20,150,290
1/1/2009,1,1,0,1,1,1,39,41,33,34,36,37,20,140,310,20,150,290
1/1/2010,1,1,1,0,0,0,39,41,42,34,36,37,20,140,310,20,150,290
1/1/2011,1,1,1,1,1,0,39,41,42,46,47,37,20,140,310,20,110,290
1/1/2012,0,0,0,1,1,1,39,41,42,46,47,48,20,140,310,20,110,220
1/1/2013,1,1,0,1,1,1,49,50,42,46,47,48,20,170,310,20,110,220
1/1/2014,1,1,0,1,1,1,49,50,42,46,47,48,20,170,310,20,110,220
1/1/2015,1,1,1,0,0,0,49,50,51,46,47,48,20,170,310,20,110,220
1/1/2016,1,1,1,1,0,0,49,50,51,52,47,48,20,170,310,20,110,220
1/1/2017,1,1,1,1,1,0,49,50,51,52,53,48,20,170,310,20,150,220
1/1/2018,1,1,1,1,1,1,49,50,51,52,53,54,20,170,310,20,150,250
